configName      Platooning
iniFile         omnetpp.ini
processID       4032
runID           Platooning-0-20191111-22:59:37-4032
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-11-11 22:59:37.455
endDateTime     2019-11-11 23:00:41.455
duration        0 hour, 1 minute, 3 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     
74             2.10           veh.4          3              veh.4          0              3              4              10             
74             2.10           veh.5          3              veh.4          1              -              -              -              
74             2.10           veh.6          3              veh.4          2              -              -              -              

75             2.10           veh1           3              veh1           0              4              4              10             
75             2.10           veh1.1         3              veh1           1              -              -              -              
75             2.10           veh1.2         3              veh1           2              -              -              -              
75             2.10           veh1.3         3              veh1           3              -              -              -              

76             2.10           veh1.4         3              veh1.4         0              2              4              10             
76             2.10           veh1.5         3              veh1.4         1              -              -              -              

77             2.20           veh            3              veh            0              4              4              10             
77             2.20           veh.1          3              veh            1              -              -              -              
77             2.20           veh.2          3              veh            2              -              -              -              
77             2.20           veh.3          3              veh            3              -              -              -              

78             2.20           veh.4          3              veh.4          0              3              4              10             
78             2.20           veh.5          3              veh.4          1              -              -              -              
78             2.20           veh.6          3              veh.4          2              -              -              -              

79             2.20           veh1           3              veh1           0              4              4              10             
79             2.20           veh1.1         3              veh1           1              -              -              -              
79             2.20           veh1.2         3              veh1           2              -              -              -              
79             2.20           veh1.3         3              veh1           3              -              -              -              

80             2.20           veh1.4         3              veh1.4         0              2              4              10             
80             2.20           veh1.5         3              veh1.4         1              -              -              -              

81             2.30           veh            3              veh            0              4              4              10             
81             2.30           veh.1          3              veh            1              -              -              -              
81             2.30           veh.2          3              veh            2              -              -              -              
81             2.30           veh.3          3              veh            3              -              -              -              

82             2.30           veh.4          3              veh.4          0              3              4              10             
82             2.30           veh.5          3              veh.4          1              -              -              -              
82             2.30           veh.6          3              veh.4          2              -              -              -              

83             2.30           veh1           3              veh1           0              4              4              10             
83             2.30           veh1.1         3              veh1           1              -              -              -              
83             2.30           veh1.2         3              veh1           2              -              -              -              
83             2.30           veh1.3         3              veh1           3              -              -              -              

84             2.30           veh1.4         3              veh1.4         0              2              4              10             
84             2.30           veh1.5         3              veh1.4         1              -              -              -              

85             2.40           veh            3              veh            0              4              4              10             
85             2.40           veh.1          3              veh            1              -              -              -              
85             2.40           veh.2          3              veh            2              -              -              -              
85             2.40           veh.3          3              veh            3              -              -              -              

86             2.40           veh.4          3              veh.4          0              3              4              10             
86             2.40           veh.5          3              veh.4          1              -              -              -              
86             2.40           veh.6          3              veh.4          2              -              -              -              

87             2.40           veh1           3              veh1           0              4              4              10             
87             2.40           veh1.1         3              veh1           1              -              -              -              
87             2.40           veh1.2         3              veh1           2              -              -              -              
87             2.40           veh1.3         3              veh1           3              -              -              -              

88             2.40           veh1.4         3              veh1.4         0              2              4              10             
88             2.40           veh1.5         3              veh1.4         1              -              -              -              

89             2.50           veh            3              veh            0              4              4              10             
89             2.50           veh.1          3              veh            1              -              -              -              
89             2.50           veh.2          3              veh            2              -              -              -              
89             2.50           veh.3          3              veh            3              -              -              -              

90             2.50           veh.4          3              veh.4          0              3              4              10             
90             2.50           veh.5          3              veh.4          1              -              -              -              
90             2.50           veh.6          3              veh.4          2              -              -              -              

91             2.50           veh1           3              veh1           0              4              4              10             
91             2.50           veh1.1         3              veh1           1              -              -              -              
91             2.50           veh1.2         3              veh1           2              -              -              -              
91             2.50           veh1.3         3              veh1           3              -              -              -              

92             2.50           veh1.4         3              veh1.4         0              2              4              10             
92             2.50           veh1.5         3              veh1.4         1              -              -              -              

93             2.60           veh            3              veh            0              4              4              10             
93             2.60           veh.1          3              veh            1              -              -              -              
93             2.60           veh.2          3              veh            2              -              -              -              
93             2.60           veh.3          3              veh            3              -              -              -              

94             2.60           veh.4          3              veh.4          0              3              4              10             
94             2.60           veh.5          3              veh.4          1              -              -              -              
94             2.60           veh.6          3              veh.4          2              -              -              -              

95             2.60           veh1           3              veh1           0              4              4              10             
95             2.60           veh1.1         3              veh1           1              -              -              -              
95             2.60           veh1.2         3              veh1           2              -              -              -              
95             2.60           veh1.3         3              veh1           3              -              -              -              

96             2.60           veh1.4         3              veh1.4         0              2              4              10             
96             2.60           veh1.5         3              veh1.4         1              -              -              -              

97             2.70           veh            3              veh            0              4              4              10             
97             2.70           veh.1          3              veh            1              -              -              -              
97             2.70           veh.2          3              veh            2              -              -              -              
97             2.70           veh.3          3              veh            3              -              -              -              

98             2.70           veh.4          3              veh.4          0              3              4              10             
98             2.70           veh.5          3              veh.4          1              -              -              -              
98             2.70           veh.6          3              veh.4          2              -              -              -              

99             2.70           veh1           3              veh1           0              4              4              10             
99             2.70           veh1.1         3              veh1           1              -              -              -              
99             2.70           veh1.2         3              veh1           2              -              -              -              
